"Archetype","OpId"
"DIRECT_ENTRY","FB_OP_ZHEMM"
"DIRECT_ENTRY","FB_OP_SSYRK"
"DIRECT_ENTRY","FB_OP_DSYRK"
"DIRECT_ENTRY","FB_OP_CSYRK"
"DIRECT_ENTRY","FB_OP_ZSYRK"
"DIRECT_ENTRY","FB_OP_CHERK"
"DIRECT_ENTRY","FB_OP_ZHERK"
"DIRECT_ENTRY","FB_OP_SSYR2K"
"DIRECT_ENTRY","FB_OP_DSYR2K"
"DIRECT_ENTRY","FB_OP_CSYR2K"
"DIRECT_ENTRY","FB_OP_ZSYR2K"
"DIRECT_ENTRY","FB_OP_CHER2K"
"DIRECT_ENTRY","FB_OP_ZHER2K"
"DIRECT_ENTRY","FB_OP_STRMM"
"DIRECT_ENTRY","FB_OP_DTRMM"
"DIRECT_ENTRY","FB_OP_CTRMM"
"DIRECT_ENTRY","FB_OP_ZTRMM"
"DIRECT_ENTRY","FB_OP_STRSM"
"DIRECT_ENTRY","FB_OP_DTRSM"
"DIRECT_ENTRY","FB_OP_CTRSM"
"DIRECT_ENTRY","FB_OP_ZTRSM"
"DIRECT_ENTRY","FB_OP_SGEMM_BATCH"
"DIRECT_ENTRY","FB_OP_DGEMM_BATCH"
"DIRECT_ENTRY","FB_OP_CGEMM_BATCH"
"DIRECT_ENTRY","FB_OP_ZGEMM_BATCH"
"DIRECT_ENTRY","FB_OP_SGEMM_STRIDED"
"DIRECT_ENTRY","FB_OP_DGEMM_STRIDED"
"DIRECT_ENTRY","FB_OP_CGEMM_STRIDED"
"DIRECT_ENTRY","FB_OP_ZGEMM_STRIDED"
"FACTOR_ENTRY","FB_OP_SGETRF"
"FACTOR_ENTRY","FB_OP_DGETRF"
"FACTOR_ENTRY","FB_OP_CGETRF"
"FACTOR_ENTRY","FB_OP_ZGETRF"
"SOLVE_ENTRY","FB_OP_SGETRS"
"SOLVE_ENTRY","FB_OP_DGETRS"
"SOLVE_ENTRY","FB_OP_CGETRS"
"SOLVE_ENTRY","FB_OP_ZGETRS"
"FACTOR_ENTRY","FB_OP_SPOTRF"
"FACTOR_ENTRY","FB_OP_DPOTRF"
"FACTOR_ENTRY","FB_OP_CPOTRF"
"FACTOR_ENTRY","FB_OP_ZPOTRF"
"SOLVE_ENTRY","FB_OP_SPOTRS"
"SOLVE_ENTRY","FB_OP_DPOTRS"
"SOLVE_ENTRY","FB_OP_CPOTRS"
"SOLVE_ENTRY","FB_OP_ZPOTRS"
"FACTOR_ENTRY","FB_OP_SGEQRF"
"FACTOR_ENTRY","FB_OP_DGEQRF"
"FACTOR_ENTRY","FB_OP_CGEQRF"
"FACTOR_ENTRY","FB_OP_ZGEQRF"
"FACTOR_ENTRY","FB_OP_SORGQR"
"FACTOR_ENTRY","FB_OP_DORGQR"
"FACTOR_ENTRY","FB_OP_CUNGQR"
"FACTOR_ENTRY","FB_OP_ZUNGQR"
"FACTOR_ENTRY","FB_OP_SORMQR"
"FACTOR_ENTRY","FB_OP_DORMQR"
"FACTOR_ENTRY","FB_OP_CUNMQR"
"FACTOR_ENTRY","FB_OP_ZUNMQR"
"FACTOR_ENTRY","FB_OP_STRTRI"
"FACTOR_ENTRY","FB_OP_DTRTRI"
"FACTOR_ENTRY","FB_OP_CTRTRI"
"FACTOR_ENTRY","FB_OP_ZTRTRI"
"SOLVE_ENTRY","FB_OP_STRTRS"
"SOLVE_ENTRY","FB_OP_DTRTRS"
"SOLVE_ENTRY","FB_OP_CTRTRS"
"SOLVE_ENTRY","FB_OP_ZTRTRS"
"FACTOR_ENTRY","FB_OP_SGETRI"
"FACTOR_ENTRY","FB_OP_DGETRI"
"FACTOR_ENTRY","FB_OP_CGETRI"
"FACTOR_ENTRY","FB_OP_ZGETRI"
"FACTOR_ENTRY","FB_OP_SPOTRI"
"FACTOR_ENTRY","FB_OP_DPOTRI"
"FACTOR_ENTRY","FB_OP_CPOTRI"
"FACTOR_ENTRY","FB_OP_ZPOTRI"
"FACTOR_ENTRY","FB_OP_SSYTRF"
"FACTOR_ENTRY","FB_OP_DSYTRF"
"FACTOR_ENTRY","FB_OP_CSYTRF"
"FACTOR_ENTRY","FB_OP_ZSYTRF"
"FACTOR_ENTRY","FB_OP_CHETRF"
"FACTOR_ENTRY","FB_OP_ZHETRF"
"SOLVE_ENTRY","FB_OP_SSYTRS"
"SOLVE_ENTRY","FB_OP_DSYTRS"
"SOLVE_ENTRY","FB_OP_CSYTRS"
"SOLVE_ENTRY","FB_OP_ZSYTRS"
"SOLVE_ENTRY","FB_OP_SSYSV"
"SOLVE_ENTRY","FB_OP_DSYSV"
"SOLVE_ENTRY","FB_OP_CSYSV"
"SOLVE_ENTRY","FB_OP_ZSYSV"
"SOLVE_ENTRY","FB_OP_CHESV"
"SOLVE_ENTRY","FB_OP_ZHESV"
"SOLVE_ENTRY","FB_OP_SGESV"
"SOLVE_ENTRY","FB_OP_DGESV"
"SOLVE_ENTRY","FB_OP_CGESV"
"SOLVE_ENTRY","FB_OP_ZGESV"
"SOLVE_ENTRY","FB_OP_SPOSV"
"SOLVE_ENTRY","FB_OP_DPOSV"
"SOLVE_ENTRY","FB_OP_CPOSV"
"SOLVE_ENTRY","FB_OP_ZPOSV"
"SOLVE_ENTRY","FB_OP_SGELS"
